WARNING  2019-10-04 03:13:27,020: Many workers - data center may refuse service (--download-workers 8)
DEFAULT  2019-10-04 03:13:28,728: ROVER version 1.0.4 - starting retrieve
DEFAULT  2019-10-04 03:13:28,729: Status available at http://127.0.0.1:8000
DEFAULT  2019-10-04 03:13:28,747: Trying new retrieval attempt 1 of 3.
DEFAULT  2019-10-04 03:15:38,125: Downloading TA_214A 2014-072 (N_S 5/10; day 13/17)
DEFAULT  2019-10-04 03:15:38,601: Downloading TA_214A 2014-073 (N_S 5/10; day 14/17)
DEFAULT  2019-10-04 03:15:39,073: Downloading TA_214A 2014-074 (N_S 5/10; day 15/17)
DEFAULT  2019-10-04 03:15:39,392: Downloading TA_214A 2014-075 (N_S 5/10; day 16/17)
DEFAULT  2019-10-04 03:15:40,013: Downloading TA_214A 2014-076 (N_S 5/10; day 17/17)
DEFAULT  2019-10-04 03:15:42,596: Downloading TA_435B 2014-060 (N_S 6/10; day 1/17)
DEFAULT  2019-10-04 03:15:49,842: Downloading TA_435B 2014-061 (N_S 6/10; day 2/17)
DEFAULT  2019-10-04 03:15:50,175: Downloading TA_435B 2014-062 (N_S 6/10; day 3/17)
DEFAULT  2019-10-04 03:15:51,155: Downloading TA_435B 2014-063 (N_S 6/10; day 4/17)
DEFAULT  2019-10-04 03:15:51,164: Downloading TA_435B 2014-064 (N_S 6/10; day 5/17)
DEFAULT  2019-10-04 03:15:51,376: Downloading TA_435B 2014-065 (N_S 6/10; day 6/17)
DEFAULT  2019-10-04 03:15:51,774: Downloading TA_435B 2014-066 (N_S 6/10; day 7/17)
DEFAULT  2019-10-04 03:15:52,906: Downloading TA_435B 2014-067 (N_S 6/10; day 8/17)
DEFAULT  2019-10-04 03:15:54,452: Downloading TA_435B 2014-068 (N_S 6/10; day 9/17)
DEFAULT  2019-10-04 03:15:56,128: Downloading TA_435B 2014-069 (N_S 6/10; day 10/17)
DEFAULT  2019-10-04 03:15:57,809: Downloading TA_435B 2014-070 (N_S 6/10; day 11/17)
DEFAULT  2019-10-04 03:15:57,921: Downloading TA_435B 2014-071 (N_S 6/10; day 12/17)
DEFAULT  2019-10-04 03:15:58,443: Downloading TA_435B 2014-072 (N_S 6/10; day 13/17)
DEFAULT  2019-10-04 03:15:58,452: Downloading TA_435B 2014-073 (N_S 6/10; day 14/17)
DEFAULT  2019-10-04 03:15:59,778: Downloading TA_435B 2014-074 (N_S 6/10; day 15/17)
DEFAULT  2019-10-04 03:16:00,705: Downloading TA_435B 2014-075 (N_S 6/10; day 16/17)
DEFAULT  2019-10-04 03:16:01,227: Downloading TA_435B 2014-076 (N_S 6/10; day 17/17)
DEFAULT  2019-10-04 03:16:02,650: Downloading TA_833A 2014-060 (N_S 7/10; day 1/17)
DEFAULT  2019-10-04 03:16:04,621: Downloading TA_833A 2014-061 (N_S 7/10; day 2/17)
DEFAULT  2019-10-04 03:16:04,835: Downloading TA_833A 2014-062 (N_S 7/10; day 3/17)
DEFAULT  2019-10-04 03:16:05,582: Downloading TA_833A 2014-063 (N_S 7/10; day 4/17)
DEFAULT  2019-10-04 03:16:05,998: Downloading TA_833A 2014-064 (N_S 7/10; day 5/17)
DEFAULT  2019-10-04 03:16:08,135: Downloading TA_833A 2014-065 (N_S 7/10; day 6/17)
DEFAULT  2019-10-04 03:16:08,553: Downloading TA_833A 2014-066 (N_S 7/10; day 7/17)
DEFAULT  2019-10-04 03:16:09,072: Downloading TA_833A 2014-067 (N_S 7/10; day 8/17)
DEFAULT  2019-10-04 03:16:10,833: Downloading TA_833A 2014-068 (N_S 7/10; day 9/17)
DEFAULT  2019-10-04 03:16:11,454: Downloading TA_833A 2014-069 (N_S 7/10; day 10/17)
DEFAULT  2019-10-04 03:16:11,871: Downloading TA_833A 2014-070 (N_S 7/10; day 11/17)
DEFAULT  2019-10-04 03:16:11,982: Downloading TA_833A 2014-071 (N_S 7/10; day 12/17)
DEFAULT  2019-10-04 03:16:13,017: Downloading TA_833A 2014-072 (N_S 7/10; day 13/17)
DEFAULT  2019-10-04 03:16:14,920: Downloading TA_833A 2014-073 (N_S 7/10; day 14/17)
DEFAULT  2019-10-04 03:16:15,134: Downloading TA_833A 2014-074 (N_S 7/10; day 15/17)
DEFAULT  2019-10-04 03:16:15,552: Downloading TA_833A 2014-075 (N_S 7/10; day 16/17)
DEFAULT  2019-10-04 03:16:16,988: Downloading TA_833A 2014-076 (N_S 7/10; day 17/17)
DEFAULT  2019-10-04 03:16:18,945: Downloading TA_A04D 2014-060 (N_S 8/10; day 1/17)
DEFAULT  2019-10-04 03:16:19,260: Downloading TA_A04D 2014-061 (N_S 8/10; day 2/17)
DEFAULT  2019-10-04 03:16:22,854: Downloading TA_A04D 2014-062 (N_S 8/10; day 3/17)
DEFAULT  2019-10-04 03:16:22,921: Downloading TA_A04D 2014-063 (N_S 8/10; day 4/17)
DEFAULT  2019-10-04 03:16:23,746: Downloading TA_A04D 2014-064 (N_S 8/10; day 5/17)
DEFAULT  2019-10-04 03:16:25,800: Downloading TA_A04D 2014-065 (N_S 8/10; day 6/17)
DEFAULT  2019-10-04 03:16:26,428: Downloading TA_A04D 2014-066 (N_S 8/10; day 7/17)
DEFAULT  2019-10-04 03:16:27,896: Downloading TA_A04D 2014-067 (N_S 8/10; day 8/17)
DEFAULT  2019-10-04 03:16:30,187: Downloading TA_A04D 2014-068 (N_S 8/10; day 9/17)
DEFAULT  2019-10-04 03:16:30,298: Downloading TA_A04D 2014-069 (N_S 8/10; day 10/17)
DEFAULT  2019-10-04 03:16:31,124: Downloading TA_A04D 2014-070 (N_S 8/10; day 11/17)
DEFAULT  2019-10-04 03:16:34,390: Downloading TA_A04D 2014-071 (N_S 8/10; day 12/17)
DEFAULT  2019-10-04 03:16:35,321: Downloading TA_A04D 2014-072 (N_S 8/10; day 13/17)
DEFAULT  2019-10-04 03:16:36,554: Downloading TA_A04D 2014-073 (N_S 8/10; day 14/17)
DEFAULT  2019-10-04 03:16:37,797: Downloading TA_A04D 2014-074 (N_S 8/10; day 15/17)
DEFAULT  2019-10-04 03:16:37,804: Downloading TA_A04D 2014-075 (N_S 8/10; day 16/17)
DEFAULT  2019-10-04 03:16:39,647: Downloading TA_A04D 2014-076 (N_S 8/10; day 17/17)
DEFAULT  2019-10-04 03:16:41,524: Downloading TA_A36M 2014-060 (N_S 9/10; day 1/17)
DEFAULT  2019-10-04 03:16:41,531: Downloading TA_A36M 2014-061 (N_S 9/10; day 2/17)
DEFAULT  2019-10-04 03:16:43,816: Downloading TA_A36M 2014-062 (N_S 9/10; day 3/17)
DEFAULT  2019-10-04 03:16:43,927: Downloading TA_A36M 2014-063 (N_S 9/10; day 4/17)
DEFAULT  2019-10-04 03:16:44,140: Downloading TA_A36M 2014-064 (N_S 9/10; day 5/17)
DEFAULT  2019-10-04 03:16:44,455: Downloading TA_A36M 2014-065 (N_S 9/10; day 6/17)
DEFAULT  2019-10-04 03:16:45,179: Downloading TA_A36M 2014-066 (N_S 9/10; day 7/17)
DEFAULT  2019-10-04 03:16:45,312: Downloading TA_A36M 2014-067 (N_S 9/10; day 8/17)
DEFAULT  2019-10-04 03:16:46,897: Downloading TA_A36M 2014-068 (N_S 9/10; day 9/17)
DEFAULT  2019-10-04 03:16:46,906: Downloading TA_A36M 2014-069 (N_S 9/10; day 10/17)
DEFAULT  2019-10-04 03:16:49,277: Downloading TA_A36M 2014-070 (N_S 9/10; day 11/17)
DEFAULT  2019-10-04 03:16:49,326: Downloading TA_A36M 2014-071 (N_S 9/10; day 12/17)
DEFAULT  2019-10-04 03:16:49,642: Downloading TA_A36M 2014-072 (N_S 9/10; day 13/17)
DEFAULT  2019-10-04 03:16:50,161: Downloading TA_A36M 2014-073 (N_S 9/10; day 14/17)
DEFAULT  2019-10-04 03:16:54,471: Downloading TA_A36M 2014-074 (N_S 9/10; day 15/17)
DEFAULT  2019-10-04 03:16:56,388: Downloading TA_A36M 2014-075 (N_S 9/10; day 16/17)
DEFAULT  2019-10-04 03:16:57,825: Downloading TA_A36M 2014-076 (N_S 9/10; day 17/17)
DEFAULT  2019-10-04 03:16:58,664: Downloading TA_ABTX 2014-060 (N_S 10/10; day 1/17)
DEFAULT  2019-10-04 03:16:58,890: Downloading TA_ABTX 2014-061 (N_S 10/10; day 2/17)
DEFAULT  2019-10-04 03:16:59,015: Downloading TA_ABTX 2014-062 (N_S 10/10; day 3/17)
DEFAULT  2019-10-04 03:16:59,535: Downloading TA_ABTX 2014-063 (N_S 10/10; day 4/17)
DEFAULT  2019-10-04 03:17:00,152: Downloading TA_ABTX 2014-064 (N_S 10/10; day 5/17)
DEFAULT  2019-10-04 03:17:00,468: Downloading TA_ABTX 2014-065 (N_S 10/10; day 6/17)
DEFAULT  2019-10-04 03:17:03,845: Downloading TA_ABTX 2014-066 (N_S 10/10; day 7/17)
DEFAULT  2019-10-04 03:17:05,703: Downloading TA_ABTX 2014-067 (N_S 10/10; day 8/17)
DEFAULT  2019-10-04 03:17:10,955: Downloading TA_ABTX 2014-068 (N_S 10/10; day 9/17)
DEFAULT  2019-10-04 03:17:11,779: Downloading TA_ABTX 2014-069 (N_S 10/10; day 10/17)
DEFAULT  2019-10-04 03:17:12,297: Downloading TA_ABTX 2014-070 (N_S 10/10; day 11/17)
DEFAULT  2019-10-04 03:17:12,522: Downloading TA_ABTX 2014-071 (N_S 10/10; day 12/17)
DEFAULT  2019-10-04 03:17:12,633: Downloading TA_ABTX 2014-072 (N_S 10/10; day 13/17)
DEFAULT  2019-10-04 03:17:12,950: Downloading TA_ABTX 2014-073 (N_S 10/10; day 14/17)
DEFAULT  2019-10-04 03:17:17,735: Downloading TA_ABTX 2014-074 (N_S 10/10; day 15/17)
DEFAULT  2019-10-04 03:17:19,560: Downloading TA_ABTX 2014-075 (N_S 10/10; day 16/17)
DEFAULT  2019-10-04 03:17:22,989: Downloading TA_ABTX 2014-076 (N_S 10/10; day 17/17)
DEFAULT  2019-10-04 03:17:35,060: Successful retrieval, downloaded data so resetting retry count and verify.
DEFAULT  2019-10-04 03:17:35,060: Trying new retrieval attempt 1 of 3.
DEFAULT  2019-10-04 03:17:35,259: Retrieval attempt 1 of 3 is complete.
DEFAULT  2019-10-04 03:17:35,361: The initial retrieval attempt resulted in no errors or data downloaded, will verify.
DEFAULT  2019-10-04 03:17:35,361: Trying new retrieval attempt 2 of 3.
DEFAULT  2019-10-04 03:17:35,551: Retrieval attempt 2 of 3 is complete.
DEFAULT  2019-10-04 03:17:35,552: The final retrieval, attempt 2 of 3, made no downloads and had no errors, we are complete.
DEFAULT  2019-10-04 03:17:35,552: 
DEFAULT  2019-10-04 03:17:35,552: ----- Retrieval Finished -----
DEFAULT  2019-10-04 03:17:35,552: 
DEFAULT  2019-10-04 03:17:35,552: 
DEFAULT  2019-10-04 03:17:35,552: A ROVER retrieve task on holy7c02202.rc.fas.harvard.edu
DEFAULT  2019-10-04 03:17:35,552: started 2019-10-04T03:13:28 (2019-10-04T07:13:28 UTC)
DEFAULT  2019-10-04 03:17:35,552: has completed in 4.1 minutes
DEFAULT  2019-10-04 03:17:35,552: 
DEFAULT  2019-10-04 03:17:35,552: The download for 10 stations totaled 1.6 GiB,
DEFAULT  2019-10-04 03:17:35,553: with data covering 41472000 seconds.
DEFAULT  2019-10-04 03:17:35,553: 
DEFAULT  2019-10-04 03:17:35,553: A total of 170 downloads were made, with 0 errors (0 on final pass of 2).
DEFAULT  2019-10-04 03:17:35,553: 
